sIP,dIP,sPort,dPort,protocol,packets,bytes,flags,sTime,duration,eTime,sensor
10.10.100.6,10.10.192.130,36718,1687,6,1,44,S,2014/12/04T00:05:26.229,0.000,2014/12/04T00:05:26.229,?
10.10.100.6,10.10.192.130,36718,3527,6,1,44,S,2014/12/04T00:05:26.230,0.000,2014/12/04T00:05:26.230,?
10.10.100.6,10.10.192.130,36718,5633,6,1,44,S,2014/12/04T00:05:26.230,0.000,2014/12/04T00:05:26.230,?
10.10.100.6,10.10.192.130,36718,1218,6,1,44,S,2014/12/04T00:05:26.230,0.000,2014/12/04T00:05:26.230,?
10.10.100.6,10.10.192.130,36718,617,6,1,44,S,2014/12/04T00:05:26.230,0.000,2014/12/04T00:05:26.230,?
10.10.100.6,10.10.192.130,36718,32770,6,1,44,S,2014/12/04T00:05:26.231,0.000,2014/12/04T00:05:26.231,?
10.10.100.6,10.10.192.130,36718,1062,6,1,44,S,2014/12/04T00:05:26.231,0.000,2014/12/04T00:05:26.231,?
10.10.100.6,10.10.192.130,36718,3801,6,1,44,S,2014/12/04T00:05:26.231,0.000,2014/12/04T00:05:26.231,?
10.10.100.6,10.10.192.130,36718,1812,6,1,44,S,2014/12/04T00:05:26.231,0.000,2014/12/04T00:05:26.231,?
10.10.100.6,10.10.192.130,36718,2040,6,1,44,S,2014/12/04T00:05:26.232,0.000,2014/12/04T00:05:26.232,?
10.10.100.6,10.10.192.130,36718,7106,6,1,44,S,2014/12/04T00:05:26.232,0.000,2014/12/04T00:05:26.232,?
10.10.100.6,10.10.192.130,36718,85,6,1,44,S,2014/12/04T00:05:26.232,0.000,2014/12/04T00:05:26.232,?
10.10.100.6,10.10.192.130,36718,5907,6,1,44,S,2014/12/04T00:05:26.233,0.000,2014/12/04T00:05:26.233,?
10.10.100.6,10.10.192.130,36718,49159,6,1,44,S,2014/12/04T00:05:26.233,0.000,2014/12/04T00:05:26.233,?
10.10.100.6,10.10.192.130,36718,306,6,1,44,S,2014/12/04T00:05:26.233,0.000,2014/12/04T00:05:26.233,?
10.10.100.6,10.10.192.130,36718,427,6,1,44,S,2014/12/04T00:05:26.236,0.000,2014/12/04T00:05:26.236,?
10.10.100.6,10.10.192.130,36718,2998,6,1,44,S,2014/12/04T00:05:26.236,0.000,2014/12/04T00:05:26.236,?
10.10.100.6,10.10.192.130,36718,3261,6,1,44,S,2014/12/04T00:05:26.236,0.000,2014/12/04T00:05:26.236,?
10.10.100.6,10.10.192.130,36718,8400,6,1,44,S,2014/12/04T00:05:26.237,0.000,2014/12/04T00:05:26.237,?
10.10.100.6,10.10.192.130,36718,9944,6,1,44,S,2014/12/04T00:05:26.237,0.000,2014/12/04T00:05:26.237,?
10.10.100.6,10.10.192.130,36718,1199,6,1,44,S,2014/12/04T00:05:26.237,0.000,2014/12/04T00:05:26.237,?
10.10.100.6,10.10.192.130,36718,6699,6,1,44,S,2014/12/04T00:05:26.237,0.000,2014/12/04T00:05:26.237,?
10.10.100.6,10.10.192.130,36718,6,6,1,44,S,2014/12/04T00:05:26.238,0.000,2014/12/04T00:05:26.238,?
10.10.100.6,10.10.192.130,36718,6106,6,1,44,S,2014/12/04T00:05:26.238,0.000,2014/12/04T00:05:26.238,?
10.10.100.6,10.10.192.130,36718,1971,6,1,44,S,2014/12/04T00:05:26.238,0.000,2014/12/04T00:05:26.238,?
10.10.100.6,10.10.192.130,36718,7435,6,1,44,S,2014/12/04T00:05:26.239,0.000,2014/12/04T00:05:26.239,?
10.10.100.6,10.10.192.130,36718,1057,6,1,44,S,2014/12/04T00:05:26.239,0.000,2014/12/04T00:05:26.239,?
10.10.100.6,10.10.192.130,36718,2557,6,1,44,S,2014/12/04T00:05:26.239,0.000,2014/12/04T00:05:26.239,?
10.10.100.6,10.10.192.130,36718,1124,6,1,44,S,2014/12/04T00:05:26.240,0.000,2014/12/04T00:05:26.240,?
10.10.100.6,10.10.192.130,36718,9050,6,1,44,S,2014/12/04T00:05:26.240,0.000,2014/12/04T00:05:26.240,?
10.10.100.6,10.10.192.130,36718,14441,6,1,44,S,2014/12/04T00:05:26.240,0.000,2014/12/04T00:05:26.240,?
10.10.100.6,10.10.192.130,36718,10626,6,1,44,S,2014/12/04T00:05:26.240,0.000,2014/12/04T00:05:26.240,?
10.10.100.6,10.10.192.130,36718,5414,6,1,44,S,2014/12/04T00:05:26.241,0.000,2014/12/04T00:05:26.241,?
10.10.100.6,10.10.192.130,36718,417,6,1,44,S,2014/12/04T00:05:26.241,0.000,2014/12/04T00:05:26.241,?
10.10.100.6,10.10.192.130,36718,50006,6,1,44,S,2014/12/04T00:05:26.241,0.000,2014/12/04T00:05:26.241,?
10.10.100.6,10.10.192.130,36718,32769,6,1,44,S,2014/12/04T00:05:26.242,0.000,2014/12/04T00:05:26.242,?
10.10.100.6,10.10.192.130,36718,636,6,1,44,S,2014/12/04T00:05:26.242,0.000,2014/12/04T00:05:26.242,?
10.10.100.6,10.10.192.130,36718,2068,6,1,44,S,2014/12/04T00:05:26.242,0.000,2014/12/04T00:05:26.242,?
10.10.100.6,10.10.192.130,36718,1106,6,1,44,S,2014/12/04T00:05:26.242,0.000,2014/12/04T00:05:26.242,?
10.10.100.6,10.10.192.130,36718,3689,6,1,44,S,2014/12/04T00:05:26.243,0.000,2014/12/04T00:05:26.243,?
10.10.100.6,10.10.192.130,36718,1840,6,1,44,S,2014/12/04T00:05:26.246,0.000,2014/12/04T00:05:26.246,?
10.10.100.6,10.10.192.130,36718,1583,6,1,44,S,2014/12/04T00:05:26.247,0.000,2014/12/04T00:05:26.247,?
10.10.100.6,10.10.192.130,36718,2394,6,1,44,S,2014/12/04T00:05:26.247,0.000,2014/12/04T00:05:26.247,?
10.10.100.6,10.10.192.130,36718,2809,6,1,44,S,2014/12/04T00:05:26.247,0.000,2014/12/04T00:05:26.247,?
10.10.100.6,10.10.192.130,36718,20221,6,1,44,S,2014/12/04T00:05:26.247,0.000,2014/12/04T00:05:26.247,?
10.10.100.6,10.10.192.130,36718,8654,6,1,44,S,2014/12/04T00:05:26.248,0.000,2014/12/04T00:05:26.248,?
10.10.100.6,10.10.192.130,36718,49154,6,1,44,S,2014/12/04T00:05:26.248,0.000,2014/12/04T00:05:26.248,?
10.10.100.6,10.10.192.130,36718,32782,6,1,44,S,2014/12/04T00:05:26.248,0.000,2014/12/04T00:05:26.248,?
10.10.100.6,10.10.192.130,36718,7741,6,1,44,S,2014/12/04T00:05:26.249,0.000,2014/12/04T00:05:26.249,?
10.10.100.6,10.10.192.130,36718,64623,6,1,44,S,2014/12/04T00:05:26.249,0.000,2014/12/04T00:05:26.249,?
10.10.100.6,10.10.192.130,36718,3659,6,1,44,S,2014/12/04T00:05:26.249,0.000,2014/12/04T00:05:26.249,?
10.10.100.6,10.10.192.130,36718,5120,6,1,44,S,2014/12/04T00:05:26.250,0.000,2014/12/04T00:05:26.250,?
10.10.100.6,10.10.192.130,36718,1067,6,1,44,S,2014/12/04T00:05:26.250,0.000,2014/12/04T00:05:26.250,?
10.10.100.6,10.10.192.130,36718,2179,6,1,44,S,2014/12/04T00:05:26.250,0.000,2014/12/04T00:05:26.250,?
10.10.100.6,10.10.192.130,36718,3905,6,1,44,S,2014/12/04T00:05:26.251,0.000,2014/12/04T00:05:26.251,?
10.10.100.6,10.10.192.130,36718,1164,6,1,44,S,2014/12/04T00:05:26.251,0.000,2014/12/04T00:05:26.251,?
10.10.100.6,10.10.192.130,36718,2121,6,1,44,S,2014/12/04T00:05:26.251,0.000,2014/12/04T00:05:26.251,?
10.10.100.6,10.10.192.130,36718,992,6,1,44,S,2014/12/04T00:05:26.251,0.000,2014/12/04T00:05:26.251,?
10.10.100.6,10.10.192.130,36718,1043,6,1,44,S,2014/12/04T00:05:26.252,0.000,2014/12/04T00:05:26.252,?
10.10.100.6,10.10.192.130,36718,3211,6,1,44,S,2014/12/04T00:05:26.252,0.000,2014/12/04T00:05:26.252,?
10.10.100.6,10.10.192.130,36718,5002,6,1,44,S,2014/12/04T00:05:26.252,0.000,2014/12/04T00:05:26.252,?
10.10.100.6,10.10.192.130,36718,5102,6,1,44,S,2014/12/04T00:05:26.253,0.000,2014/12/04T00:05:26.253,?
10.10.100.6,10.10.192.130,36718,109,6,1,44,S,2014/12/04T00:05:26.253,0.000,2014/12/04T00:05:26.253,?
10.10.100.6,10.10.192.130,36718,720,6,1,44,S,2014/12/04T00:05:26.253,0.000,2014/12/04T00:05:26.253,?
10.10.100.6,10.10.192.130,36718,32772,6,1,44,S,2014/12/04T00:05:26.253,0.000,2014/12/04T00:05:26.253,?
10.10.100.6,10.10.192.130,36719,1088,6,1,44,S,2014/12/04T00:05:26.321,0.000,2014/12/04T00:05:26.321,?
10.10.100.6,10.10.192.130,36719,1079,6,1,44,S,2014/12/04T00:05:26.321,0.000,2014/12/04T00:05:26.321,?
10.10.100.6,10.10.192.130,36719,1023,6,1,44,S,2014/12/04T00:05:26.321,0.000,2014/12/04T00:05:26.321,?
10.10.100.6,10.10.192.130,36719,10778,6,1,44,S,2014/12/04T00:05:26.321,0.000,2014/12/04T00:05:26.321,?
10.10.100.6,10.10.192.130,36719,6101,6,1,44,S,2014/12/04T00:05:26.324,0.000,2014/12/04T00:05:26.324,?
10.10.100.6,10.10.192.130,36719,32781,6,1,44,S,2014/12/04T00:05:26.324,0.000,2014/12/04T00:05:26.324,?
10.10.100.6,10.10.192.130,36719,45100,6,1,44,S,2014/12/04T00:05:26.325,0.000,2014/12/04T00:05:26.325,?
10.10.100.6,10.10.192.130,36719,555,6,1,44,S,2014/12/04T00:05:26.325,0.000,2014/12/04T00:05:26.325,?
10.10.100.6,10.10.192.130,36719,5009,6,1,44,S,2014/12/04T00:05:26.325,0.000,2014/12/04T00:05:26.325,?
10.10.100.6,10.10.192.130,36719,2009,6,1,44,S,2014/12/04T00:05:26.328,0.000,2014/12/04T00:05:26.328,?
10.10.100.6,10.10.192.130,36719,3476,6,1,44,S,2014/12/04T00:05:26.328,0.000,2014/12/04T00:05:26.328,?
10.10.100.6,10.10.192.130,36719,2604,6,1,44,S,2014/12/04T00:05:26.329,0.000,2014/12/04T00:05:26.329,?
10.10.100.6,10.10.192.130,36719,6566,6,1,44,S,2014/12/04T00:05:26.329,0.000,2014/12/04T00:05:26.329,?
10.10.100.6,10.10.192.130,36719,1461,6,1,44,S,2014/12/04T00:05:26.329,0.000,2014/12/04T00:05:26.329,?
10.10.100.6,10.10.192.130,36719,4006,6,1,44,S,2014/12/04T00:05:26.329,0.000,2014/12/04T00:05:26.329,?
10.10.100.6,10.10.192.130,36719,7106,6,1,44,S,2014/12/04T00:05:26.332,0.000,2014/12/04T00:05:26.332,?
10.10.100.6,10.10.192.130,36719,2040,6,1,44,S,2014/12/04T00:05:26.332,0.000,2014/12/04T00:05:26.332,?
10.10.100.6,10.10.192.130,36719,1812,6,1,44,S,2014/12/04T00:05:26.333,0.000,2014/12/04T00:05:26.333,?
10.10.100.6,10.10.192.130,36719,3801,6,1,44,S,2014/12/04T00:05:26.333,0.000,2014/12/04T00:05:26.333,?
10.10.100.6,10.10.192.130,36719,1062,6,1,44,S,2014/12/04T00:05:26.333,0.000,2014/12/04T00:05:26.333,?
10.10.100.6,10.10.192.130,36719,32770,6,1,44,S,2014/12/04T00:05:26.334,0.000,2014/12/04T00:05:26.334,?
10.10.100.6,10.10.192.130,36719,617,6,1,44,S,2014/12/04T00:05:26.334,0.000,2014/12/04T00:05:26.334,?
10.10.100.6,10.10.192.130,36719,1218,6,1,44,S,2014/12/04T00:05:26.334,0.000,2014/12/04T00:05:26.334,?
10.10.100.6,10.10.192.130,36719,5633,6,1,44,S,2014/12/04T00:05:26.335,0.000,2014/12/04T00:05:26.335,?
10.10.100.6,10.10.192.130,36719,3527,6,1,44,S,2014/12/04T00:05:26.335,0.000,2014/12/04T00:05:26.335,?
10.10.100.6,10.10.192.130,36719,1687,6,1,44,S,2014/12/04T00:05:26.335,0.000,2014/12/04T00:05:26.335,?
10.10.100.6,10.10.192.130,36719,1247,6,1,44,S,2014/12/04T00:05:26.335,0.000,2014/12/04T00:05:26.335,?
10.10.100.6,10.10.192.130,36719,49163,6,1,44,S,2014/12/04T00:05:26.336,0.000,2014/12/04T00:05:26.336,?
10.10.100.6,10.10.192.130,36719,42510,6,1,44,S,2014/12/04T00:05:26.336,0.000,2014/12/04T00:05:26.336,?
10.10.100.6,10.10.192.130,36719,1971,6,1,44,S,2014/12/04T00:05:26.339,0.000,2014/12/04T00:05:26.339,?
10.10.100.6,10.10.192.130,36719,6106,6,1,44,S,2014/12/04T00:05:26.339,0.000,2014/12/04T00:05:26.339,?
10.10.100.6,10.10.192.130,36719,6,6,1,44,S,2014/12/04T00:05:26.339,0.000,2014/12/04T00:05:26.339,?
10.10.100.6,10.10.192.130,36719,6699,6,1,44,S,2014/12/04T00:05:26.339,0.000,2014/12/04T00:05:26.339,?
10.10.100.6,10.10.192.130,36719,1199,6,1,44,S,2014/12/04T00:05:26.340,0.000,2014/12/04T00:05:26.340,?
10.10.100.6,10.10.192.130,36719,9944,6,1,44,S,2014/12/04T00:05:26.340,0.000,2014/12/04T00:05:26.340,?
10.10.100.6,10.10.192.130,36719,8400,6,1,44,S,2014/12/04T00:05:26.340,0.000,2014/12/04T00:05:26.340,?
10.10.100.6,10.10.192.130,36719,3261,6,1,44,S,2014/12/04T00:05:26.341,0.000,2014/12/04T00:05:26.341,?
10.10.100.6,10.10.192.130,36719,2998,6,1,44,S,2014/12/04T00:05:26.341,0.000,2014/12/04T00:05:26.341,?
10.10.100.6,10.10.192.130,36719,427,6,1,44,S,2014/12/04T00:05:26.341,0.000,2014/12/04T00:05:26.341,?
10.10.100.6,10.10.192.130,36719,306,6,1,44,S,2014/12/04T00:05:26.342,0.000,2014/12/04T00:05:26.342,?
10.10.100.6,10.10.192.130,36719,49159,6,1,44,S,2014/12/04T00:05:26.342,0.000,2014/12/04T00:05:26.342,?
10.10.100.6,10.10.192.130,36719,5907,6,1,44,S,2014/12/04T00:05:26.342,0.000,2014/12/04T00:05:26.342,?
10.10.100.6,10.10.192.130,36719,85,6,1,44,S,2014/12/04T00:05:26.343,0.000,2014/12/04T00:05:26.343,?
10.10.100.6,10.10.192.130,36719,3689,6,1,44,S,2014/12/04T00:05:26.345,0.000,2014/12/04T00:05:26.345,?
10.10.100.6,10.10.192.130,36719,1106,6,1,44,S,2014/12/04T00:05:26.346,0.000,2014/12/04T00:05:26.346,?
10.10.100.6,10.10.192.130,36719,2068,6,1,44,S,2014/12/04T00:05:26.346,0.000,2014/12/04T00:05:26.346,?
10.10.100.6,10.10.192.130,36719,636,6,1,44,S,2014/12/04T00:05:26.346,0.000,2014/12/04T00:05:26.346,?
10.10.100.6,10.10.192.130,36719,32769,6,1,44,S,2014/12/04T00:05:26.347,0.000,2014/12/04T00:05:26.347,?
10.10.100.6,10.10.192.130,36719,50006,6,1,44,S,2014/12/04T00:05:26.347,0.000,2014/12/04T00:05:26.347,?
10.10.100.6,10.10.192.130,36719,417,6,1,44,S,2014/12/04T00:05:26.347,0.000,2014/12/04T00:05:26.347,?
10.10.100.6,10.10.192.130,36719,5414,6,1,44,S,2014/12/04T00:05:26.347,0.000,2014/12/04T00:05:26.347,?
10.10.100.6,10.10.192.130,36719,10626,6,1,44,S,2014/12/04T00:05:26.348,0.000,2014/12/04T00:05:26.348,?
10.10.100.6,10.10.192.130,36719,14441,6,1,44,S,2014/12/04T00:05:26.348,0.000,2014/12/04T00:05:26.348,?
10.10.100.6,10.10.192.130,36719,9050,6,1,44,S,2014/12/04T00:05:26.348,0.000,2014/12/04T00:05:26.348,?
10.10.100.6,10.10.192.130,36719,1124,6,1,44,S,2014/12/04T00:05:26.349,0.000,2014/12/04T00:05:26.349,?
10.10.100.6,10.10.192.130,36719,2557,6,1,44,S,2014/12/04T00:05:26.349,0.000,2014/12/04T00:05:26.349,?
10.10.100.6,10.10.192.130,36719,1057,6,1,44,S,2014/12/04T00:05:26.349,0.000,2014/12/04T00:05:26.349,?
10.10.100.6,10.10.192.130,36719,7435,6,1,44,S,2014/12/04T00:05:26.350,0.000,2014/12/04T00:05:26.350,?
10.10.100.6,10.10.192.130,36719,3211,6,1,44,S,2014/12/04T00:05:26.352,0.000,2014/12/04T00:05:26.352,?
10.10.100.6,10.10.192.130,36719,1043,6,1,44,S,2014/12/04T00:05:26.353,0.000,2014/12/04T00:05:26.353,?
10.10.100.6,10.10.192.130,36719,992,6,1,44,S,2014/12/04T00:05:26.353,0.000,2014/12/04T00:05:26.353,?
10.10.100.6,10.10.192.130,36719,2121,6,1,44,S,2014/12/04T00:05:26.353,0.000,2014/12/04T00:05:26.353,?
10.10.100.6,10.10.192.130,36719,1164,6,1,44,S,2014/12/04T00:05:26.353,0.000,2014/12/04T00:05:26.353,?
10.10.100.6,10.10.192.130,36719,3905,6,1,44,S,2014/12/04T00:05:26.354,0.000,2014/12/04T00:05:26.354,?
10.10.100.6,10.10.192.130,36719,2179,6,1,44,S,2014/12/04T00:05:26.354,0.000,2014/12/04T00:05:26.354,?
10.10.100.6,10.10.192.130,36719,1067,6,1,44,S,2014/12/04T00:05:26.354,0.000,2014/12/04T00:05:26.354,?
10.10.100.6,10.10.192.130,36719,5120,6,1,44,S,2014/12/04T00:05:26.355,0.000,2014/12/04T00:05:26.355,?
10.10.100.6,10.10.192.130,36719,3659,6,1,44,S,2014/12/04T00:05:26.355,0.000,2014/12/04T00:05:26.355,?
10.10.100.6,10.10.192.130,36719,64623,6,1,44,S,2014/12/04T00:05:26.355,0.000,2014/12/04T00:05:26.355,?
10.10.100.6,10.10.192.130,36719,7741,6,1,44,S,2014/12/04T00:05:26.356,0.000,2014/12/04T00:05:26.356,?
10.10.100.6,10.10.192.130,36719,32782,6,1,44,S,2014/12/04T00:05:26.356,0.000,2014/12/04T00:05:26.356,?
10.10.100.6,10.10.192.130,36719,49154,6,1,44,S,2014/12/04T00:05:26.356,0.000,2014/12/04T00:05:26.356,?
10.10.100.6,10.10.192.130,36719,8654,6,1,44,S,2014/12/04T00:05:26.356,0.000,2014/12/04T00:05:26.356,?
10.10.100.6,10.10.192.130,36719,20221,6,1,44,S,2014/12/04T00:05:26.357,0.000,2014/12/04T00:05:26.357,?
10.10.100.6,10.10.192.130,36719,2809,6,1,44,S,2014/12/04T00:05:26.357,0.000,2014/12/04T00:05:26.357,?
10.10.100.6,10.10.192.130,36719,2394,6,1,44,S,2014/12/04T00:05:26.357,0.000,2014/12/04T00:05:26.357,?
10.10.100.6,10.10.192.130,36719,1583,6,1,44,S,2014/12/04T00:05:26.358,0.000,2014/12/04T00:05:26.358,?
10.10.100.6,10.10.192.130,36719,1840,6,1,44,S,2014/12/04T00:05:26.358,0.000,2014/12/04T00:05:26.358,?
10.10.100.6,10.10.192.130,36729,5900,6,1,44,S,2014/12/04T00:05:26.361,0.000,2014/12/04T00:05:26.361,?
10.10.100.6,10.10.192.130,36719,32772,6,1,44,S,2014/12/04T00:05:26.361,0.000,2014/12/04T00:05:26.361,?
10.10.100.6,10.10.192.130,36719,720,6,1,44,S,2014/12/04T00:05:26.362,0.000,2014/12/04T00:05:26.362,?
10.10.100.6,10.10.192.130,36719,109,6,1,44,S,2014/12/04T00:05:26.362,0.000,2014/12/04T00:05:26.362,?
10.10.100.6,10.10.192.130,36719,5102,6,1,44,S,2014/12/04T00:05:26.362,0.000,2014/12/04T00:05:26.362,?
10.10.128.67,10.10.128.66,1032,3389,6,1,71,PA,2014/12/04T00:05:26.375,0.000,2014/12/04T00:05:26.375,?
192.168.1.116,128.164.141.12,61119,53,17,1,82,,2014/12/04T00:05:26.378,0.000,2014/12/04T00:05:26.378,?
10.10.100.6,10.10.192.130,36719,5002,6,1,44,S,2014/12/04T00:05:26.421,0.000,2014/12/04T00:05:26.421,?
10.10.100.6,10.10.192.130,36718,3766,6,1,44,S,2014/12/04T00:05:26.421,0.000,2014/12/04T00:05:26.421,?
10.10.100.6,10.10.192.130,36718,2005,6,1,44,S,2014/12/04T00:05:26.424,0.000,2014/12/04T00:05:26.424,?
10.10.100.6,10.10.192.130,36718,1093,6,1,44,S,2014/12/04T00:05:26.424,0.000,2014/12/04T00:05:26.424,?
10.10.100.6,10.10.192.130,36718,8084,6,1,44,S,2014/12/04T00:05:26.428,0.000,2014/12/04T00:05:26.428,?
10.10.100.6,10.10.192.130,36718,10025,6,1,44,S,2014/12/04T00:05:26.428,0.000,2014/12/04T00:05:26.428,?
10.10.100.6,10.10.192.130,36718,843,6,1,44,S,2014/12/04T00:05:26.429,0.000,2014/12/04T00:05:26.429,?
10.10.100.6,10.10.192.130,36718,1000,6,1,44,S,2014/12/04T00:05:26.429,0.000,2014/12/04T00:05:26.429,?
10.10.100.6,10.10.192.130,36718,1110,6,1,44,S,2014/12/04T00:05:26.429,0.000,2014/12/04T00:05:26.429,?
10.10.100.6,10.10.192.130,36718,5959,6,1,44,S,2014/12/04T00:05:26.430,0.000,2014/12/04T00:05:26.430,?
10.10.100.6,10.10.192.130,36718,13722,6,1,44,S,2014/12/04T00:05:26.433,0.000,2014/12/04T00:05:26.433,?
10.10.100.6,10.10.192.130,36718,55056,6,1,44,S,2014/12/04T00:05:26.433,0.000,2014/12/04T00:05:26.433,?
10.10.100.6,10.10.192.130,36718,49161,6,1,44,S,2014/12/04T00:05:26.433,0.000,2014/12/04T00:05:26.433,?
10.10.100.6,10.10.192.130,36718,563,6,1,44,S,2014/12/04T00:05:26.434,0.000,2014/12/04T00:05:26.434,?
10.10.100.6,10.10.192.130,36718,8292,6,1,44,S,2014/12/04T00:05:26.434,0.000,2014/12/04T00:05:26.434,?
10.10.100.6,10.10.192.130,36718,3827,6,1,44,S,2014/12/04T00:05:26.434,0.000,2014/12/04T00:05:26.434,?
10.10.100.6,10.10.192.130,36718,13782,6,1,44,S,2014/12/04T00:05:26.435,0.000,2014/12/04T00:05:26.435,?
10.10.100.6,10.10.192.130,36718,30718,6,1,44,S,2014/12/04T00:05:26.438,0.000,2014/12/04T00:05:26.438,?
10.10.100.6,10.10.192.130,36718,9418,6,1,44,S,2014/12/04T00:05:26.439,0.000,2014/12/04T00:05:26.439,?
10.10.100.6,10.10.192.130,36718,49176,6,1,44,S,2014/12/04T00:05:26.439,0.000,2014/12/04T00:05:26.439,?
10.10.100.6,10.10.192.130,36718,32784,6,1,44,S,2014/12/04T00:05:26.439,0.000,2014/12/04T00:05:26.439,?
10.10.100.6,10.10.192.130,36718,32775,6,1,44,S,2014/12/04T00:05:26.440,0.000,2014/12/04T00:05:26.440,?
10.10.100.6,10.10.192.130,36718,16001,6,1,44,S,2014/12/04T00:05:26.440,0.000,2014/12/04T00:05:26.440,?
10.10.100.6,10.10.192.130,36718,49400,6,1,44,S,2014/12/04T00:05:26.440,0.000,2014/12/04T00:05:26.440,?
10.10.100.6,10.10.192.130,36718,40193,6,1,44,S,2014/12/04T00:05:26.440,0.000,2014/12/04T00:05:26.440,?
10.10.100.6,10.10.192.130,36718,4848,6,1,44,S,2014/12/04T00:05:26.441,0.000,2014/12/04T00:05:26.441,?
10.10.100.6,10.10.192.130,36718,5963,6,1,44,S,2014/12/04T00:05:26.441,0.000,2014/12/04T00:05:26.441,?
10.10.100.6,10.10.192.130,36718,1090,6,1,44,S,2014/12/04T00:05:26.441,0.000,2014/12/04T00:05:26.441,?
10.10.100.6,10.10.192.130,36718,18040,6,1,44,S,2014/12/04T00:05:26.442,0.000,2014/12/04T00:05:26.442,?
10.10.100.6,10.10.192.130,36718,1641,6,1,44,S,2014/12/04T00:05:26.445,0.000,2014/12/04T00:05:26.445,?
10.10.100.6,10.10.192.130,36718,513,6,1,44,S,2014/12/04T00:05:26.445,0.000,2014/12/04T00:05:26.445,?
10.10.100.6,10.10.192.130,36718,2608,6,1,44,S,2014/12/04T00:05:26.446,0.000,2014/12/04T00:05:26.446,?
10.10.100.6,10.10.192.130,36718,65389,6,1,44,S,2014/12/04T00:05:26.446,0.000,2014/12/04T00:05:26.446,?
10.10.100.6,10.10.192.130,36718,2383,6,1,44,S,2014/12/04T00:05:26.446,0.000,2014/12/04T00:05:26.446,?
10.10.100.6,10.10.192.130,36718,1309,6,1,44,S,2014/12/04T00:05:26.447,0.000,2014/12/04T00:05:26.447,?
10.10.100.6,10.10.192.130,36718,15742,6,1,44,S,2014/12/04T00:05:26.447,0.000,2014/12/04T00:05:26.447,?
10.10.100.6,10.10.192.130,36718,49156,6,1,44,S,2014/12/04T00:05:26.447,0.000,2014/12/04T00:05:26.447,?
10.10.100.6,10.10.192.130,36718,34572,6,1,44,S,2014/12/04T00:05:26.448,0.000,2014/12/04T00:05:26.448,?
10.10.100.6,10.10.192.130,36718,3077,6,1,44,S,2014/12/04T00:05:26.448,0.000,2014/12/04T00:05:26.448,?
10.10.100.6,10.10.192.130,36718,5431,6,1,44,S,2014/12/04T00:05:26.448,0.000,2014/12/04T00:05:26.448,?
10.10.100.6,10.10.192.130,36718,10617,6,1,44,S,2014/12/04T00:05:26.448,0.000,2014/12/04T00:05:26.448,?
10.10.100.6,10.10.192.130,36718,15003,6,1,44,S,2014/12/04T00:05:26.449,0.000,2014/12/04T00:05:26.449,?
